x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;x ref; y ref; x avg; y avg; angle; ;
-350;-300;-435.9406;-81.83587;17.27717;;-350;0;-439.1035;277.5728;19.02454;;-350;300;-426.5228;584.5458;16.52882;;0;300;-77.67509;564.759;15.41221;;350;300;257.5265;180.5507;12.05957;;350;0;199.5034;-416.3664;32.15623;;350;-300;279.2691;-325.3534;2.427129;;0;-300;64.19831;-270.2567;2.923756;;0;0;-73.6054;-578.6517;42.72536;;
-350;-300;-333.1643;-436.1211;12.12759;;-350;0;-393.6122;-7.286395;1.142096;;-350;300;-401.8039;301.1016;1.348282;;0;300;-176.2617;181.1782;11.56611;;350;300;120.085;29.97814;22.2404;;350;0;217.4961;-199.5713;15.85693;;350;-300;308.3026;-409.9228;8.695494;;0;-300;-61.06586;-385.8967;6.378765;;0;0;-131.6758;-68.65053;6.018159;;
-350;-300;-359.5063;-329.6904;2.451282;;-350;0;-360.2339;22.07686;2.290978;;-350;300;-357.5652;340.256;3.794418;;0;300;-9.565389;333.1917;3.284497;;350;300;346.0338;312.1125;1.171863;;350;0;339.6537;-19.9472;2.07528;;350;-300;334.2915;-333.4415;3.142176;;0;-300;-15.64619;-304.4201;1.508828;;0;0;-20.3538;26.06833;3.171447;;
-350;-300;-403.9575;-351.8474;6.175682;;-350;0;-338.956;47.146;4.573931;;-350;300;-349.3453;379.4695;7.016603;;0;300;44.37649;371.4005;7.745217;;350;300;384.4251;241.2012;6.316897;;350;0;381.7078;42.70046;4.955391;;350;-300;372.9294;-226.0035;7.197701;;0;-300;34.33006;-212.7167;8.934239;;0;0;59.80127;122.3083;13.0216;;
-350;-300;-390.5114;-350.691;5.611504;;-350;0;-440.1171;-79.78106;10.80491;;-350;300;-448.1845;241.4348;10.3452;;0;300;-46.69474;338.623;5.61091;;350;300;350.794;373.7766;6.442264;;350;0;317.5225;39.32825;4.809497;;350;-300;329.1252;-278.34;2.706242;;0;-300;-45.44901;-294.5318;4.353747;;0;0;-62.70229;26.4564;6.583115;;
-350;-300;-376.0457;-281.8546;2.792181;;-350;0;-344.2797;13.07082;1.292255;;-350;300;-226.4247;286.3319;10.47131;;0;300;138.6336;220.9198;14.78055;;350;300;443.9195;164.707;15.02567;;350;0;375.7931;0.959473;2.327761;;350;-300;334.5935;-206.6394;8.565225;;0;-300;-12.68309;-260.7974;3.81254;;0;0;28.13039;2.787234;2.662784;;
-350;-300;-374.1564;-333.4261;3.30399;;-350;0;-359.4098;-36.01646;3.317414;;-350;300;-334.8677;269.4211;3.161988;;0;300;8.188488;286.2257;1.522643;;350;300;360.1353;282.7652;1.83387;;350;0;353.5085;-29.59903;2.694353;;350;-300;354.1979;-341.763;3.405708;;0;-300;-9.517459;-343.5784;3.678498;;0;0;-10.15967;-20.45854;2.114426;;
-350;-300;-359.5586;-309.5541;1.149269;;-350;0;-371.2949;-175.3951;15.30595;;-350;300;-88.8086;-88.52637;40.17196;;0;300;14.58881;231.2556;6.671121;;350;300;256.398;259.6721;9.37903;;350;0;287.9223;-51.17027;7.599618;;350;-300;372.726;-434.0311;10.52074;;0;-300;-14.96186;-481.158;14.46307;;0;0;2234.718;-29206.54;67.8089;;
-350;-300;-379.9335;-277.5487;2.378005;;-350;0;-373.0635;31.29015;2.744238;;-350;300;-289.1854;369.9737;8.025829;;0;300;32.68897;375.1635;7.716021;;350;300;354.5022;369.5145;6.111895;;350;0;344.6835;63.35131;5.755851;;350;-300;333.6971;-265.0305;3.326255;;0;-300;-49.65499;-281.4931;2.118864;;0;0;-35.23005;61.05008;5.16141;;
-350;-300;-455.012;410.1901;58.79377;;-350;0;33.20532;116.1366;37.08263;;-350;300;30.3249;165.9384;36.31789;;0;300;51.39161;169.8919;13.22063;;350;300;41.46138;179.0403;31.62688;;350;0;49.19928;167.5665;33.62848;;350;-300;63.57512;122.0796;50.04713;;0;-300;-95.91125;182.4634;47.37049;;0;0;-205.4212;306.1796;35.40017;;
-350;-300;-365.0713;-305.6134;1.211439;;-350;0;-364.2955;1.830117;1.157244;;-350;300;-357.1337;310.9361;1.04605;;0;300;-10.28346;335.9561;3.024333;;350;300;353.8675;315.4929;1.274568;;350;0;359.2686;-18.25357;1.475782;;350;-300;353.0488;-328.3822;1.878573;;0;-300;-9.837498;-324.0552;1.828313;;0;0;-9.839155;13.68746;1.323674;;
-350;-300;-367.9763;-307.3705;1.288919;;-350;0;-367.313;22.27746;2.0034;;-350;300;-354.3435;317.6049;1.273954;;0;300;2.315091;333.91;2.417999;;350;300;360.2646;321.7968;1.700423;;350;0;359.8609;3.150932;0.7316842;;350;-300;351.4484;-315.4219;0.9549061;;0;-300;-10.4516;-318.0863;1.365301;;0;0;-10.38567;12.30653;1.123091;;
-350;-300;-328.252;-279.7672;2.015768;;-350;0;-320.7443;17.15542;2.379733;;-350;300;-316.5013;324.9565;2.934182;;0;300;-181.0193;523.6812;20.00984;;350;300;57.27851;487.2354;24.46545;;350;0;662.2725;39.79843;19.94983;;350;-300;378.7893;-306.5129;1.987905;;0;-300;55.92462;-285.9127;4.130004;;0;0;479.7134;-56.02679;30.62336;;
-350;-300;-322.1476;-302.2682;1.962939;;-350;0;-318.7775;9.902834;2.308934;;-350;300;-320.9265;326.4283;2.769656;;0;300;47.29685;316.598;3.582389;;350;300;660.2258;272.0933;19.59578;;350;0;411.3043;34.33765;4.924418;;350;-300;400.8504;-279.7231;3.820544;;0;-300;39.60527;-278.1006;3.237308;;0;0;44.67435;28.33663;3.830577;;
-350;-300;-336.5026;-271.4607;2.151223;;-350;0;-340.8714;75.12134;5.397718;;-350;300;-340.1979;423.1599;8.663743;;0;300;5.762751;403.5089;7.374323;;350;300;246.2736;360.0134;8.491558;;350;0;301.4393;64.70867;5.734393;;350;-300;299.7459;-246.7589;4.989748;;0;-300;11.16799;-274.6461;1.934821;;0;0;12.90035;61.83884;4.565573;;
-350;-300;-363.1474;-297.9633;0.9293592;;-350;0;-368.8698;10.49692;1.534931;;-350;300;-361.8026;327.9695;2.143202;;0;300;-4.01009;334.6635;2.497949;;350;300;355.8477;352.4631;3.729249;;350;0;352.7772;20.80918;1.472463;;350;-300;347.8271;-300.9364;0.1678588;;0;-300;-7.920691;-303.6418;0.6173896;;0;0;-5.532214;21.34292;1.553308;;
-350;-300;-372.4478;-230.7486;5.102769;;-350;0;513.9344;372.5837;55.10003;;-350;300;38.76087;542.2815;30.79173;;0;300;-70.58807;527.4209;16.57312;;350;300;381.1445;318.4649;2.478598;;350;0;295.8241;28.3978;4.286057;;350;-300;279.5309;-305.6177;4.949102;;0;-300;-15.28647;-233.7224;4.756499;;0;0;45.38935;83.70507;6.905636;;
-350;-300;-268.7315;-111.5868;14.62478;;-350;0;-315.2331;182.1592;13.26742;;-350;300;-369.7976;513.2914;14.51253;;0;300;-119.2088;621.9443;22.7407;;350;300;37.27829;763.116;35.39828;;350;0;-66.85624;431.511;40.72415;;350;-300;-77.41522;104.8067;41.8687;;0;-300;-120.9967;-125.3957;15.38415;;0;0;-142.7466;240.4902;20.10981;;
-350;-300;-360.3555;-271.7078;2.107472;;-350;0;-363.2147;52.74897;3.881814;;-350;300;-363.2472;361.844;4.420801;;0;300;-2.148438;373.1798;5.204582;;350;300;358.6684;362.887;4.435089;;350;0;354.3525;44.09986;3.16075;;350;-300;346.7705;-277.0322;1.585356;;0;-300;-6.254916;-270.8461;2.075092;;0;0;-2.645144;36.22504;2.618456;;
-350;-300;-363.4445;-299.2263;0.9287274;;-350;0;-364.4724;19.21752;1.715662;;-350;300;-360.765;323.942;1.847797;;0;300;-4.490944;333.6915;2.434778;;350;300;303.4989;-72.43418;24.60221;;350;0;286.5378;-309.9733;19.88534;;350;-300;294.1237;-521.5809;13.46966;;0;-300;-74.80369;-490.5323;12.01367;;0;0;-75.67;-212.3109;14.07957;;
